101	100.0000	100.0000	3.5000	E-1
1	96.7489	115.7626	4.7843	
2	97.8836	114.1813	3.8585	
3	96.0069	109.1310	3.3841	
4	93.2663	109.1474	2.7956	
5	93.5579	109.4581	3.4924	
6	91.9150	117.4389	3.5442	
7	89.6679	107.2924	1.8785	
8	89.7550	102.4185	1.8601	
9	86.9725	100.1201	0.9824	
10	86.7972	109.4477	1.6099	
11	95.4141	83.9169	0.5911	
12	97.0318	86.7990	1.0882	
13	98.1628	89.1308	1.5648	
14	99.7478	93.4150	2.4087	
15	101.0426	96.4195	2.9927	
16	102.3991	97.1479	3.1881	
17	101.7184	97.8495	3.2503	
18	98.5573	97.1676	2.8797	
19	96.9225	102.6942	3.0276	
20	98.8866	111.4297	3.8100	
21	105.0832	103.9690	4.7065	
22	111.8276	104.0788	5.2617	
23	102.9928	103.0377	3.8572	
24	109.0816	95.0818	4.6732	
25	109.8411	92.9588	4.0459	
26	106.4783	92.9087	3.4394	
27	102.8864	93.6489	2.9843	
28	115.0306	87.5107	4.0234	
29	119.2955	82.5127	3.3044	
102	108.9816	87.1408	2.9063	E-2
30	109.8670	87.5096	2.9551	
31	110.0912	81.4451	2.1972	
32	120.3599	73.3924	2.3200	
33	120.3354	69.1418	1.8899	
34	118.2818	68.7667	0.9380	
35	106.2704	75.3276	1.0458	
36	101.8516	75.2145	0.4556	
37	105.8550	77.8586	1.1454	
38	107.5263	80.2858	1.9919	
39	106.1929	82.7569	2.1709	
40	95.1114	80.9960	0.3350	
41	97.8808	85.2507	1.0078	
42	99.3784	88.1488	1.5959	
43	102.9824	82.7499	2.0633	
44	103.5828	82.4412	2.0641	
